time_stamp,load_gross_real_power_kW
2023-08-23 08:13:27.281392-07:00,10.888
2023-08-23 09:15:11.364454-07:00,13.755
2023-08-23 10:16:50.834450-07:00,17.661
2023-08-23 11:19:32.320250-07:00,12.502
2023-08-23 12:21:20.896059-07:00,11.603
2023-08-23 13:22:55.029665-07:00,14.473
2023-08-23 14:22:59.124012-07:00,12.736
2023-08-23 15:23:02.462683-07:00,11.509
2023-08-23 16:23:05.778440-07:00,21.689
2023-08-23 17:23:09.369028-07:00,10.186
2023-08-23 18:23:12.335679-07:00,14.791
2023-08-23 19:23:15.694157-07:00,9.207
2023-08-23 20:23:18.253775-07:00,9.0
2023-08-23 21:23:21.135400-07:00,7.0
2023-08-23 22:23:24.039862-07:00,7.0
2023-08-23 23:23:27.583226-07:00,7.0
2023-08-24 00:00:59.704067-07:00,7.0
2023-08-24 01:01:02.799766-07:00,7.0
2023-08-24 02:01:05.392988-07:00,7.0
2023-08-24 03:01:08.566056-07:00,7.0
2023-08-24 04:01:11.314657-07:00,7.0
2023-08-24 05:01:19.012070-07:00,7.0
2023-08-24 06:01:25.235068-07:00,7.0
2023-08-24 07:01:29.754194-07:00,20.288
2023-08-24 08:01:34.227820-07:00,18.87
2023-08-24 09:01:37.629909-07:00,12.973
2023-08-24 10:01:40.719879-07:00,14.045
2023-08-24 11:01:44.206089-07:00,14.525
2023-08-24 12:01:47.280523-07:00,15.531
2023-08-24 13:01:50.144746-07:00,17.788
2023-08-24 14:01:37.901969-07:00,22.577
2023-08-24 15:01:41.002429-07:00,19.708
2023-08-24 16:01:43.788338-07:00,33.228
2023-08-24 17:01:46.654233-07:00,16.201
2023-08-24 18:01:49.655572-07:00,22.849
2023-08-24 19:01:57.238732-07:00,23.347
2023-08-24 20:02:01.916868-07:00,9.0
2023-08-24 21:02:08.586265-07:00,12.0
2023-08-24 22:02:13.740708-07:00,13.9
2023-08-24 23:02:17.527596-07:00,9.0
2023-08-25 00:00:58.156041-07:00,8.0
2023-08-25 01:01:04.477002-07:00,14.0
2023-08-25 02:01:12.373951-07:00,7.0
2023-08-25 03:01:40.634233-07:00,7.199999999999999
2023-08-25 04:01:48.819554-07:00,9.3
2023-08-25 05:01:54.121475-07:00,7.0
2023-08-25 06:02:00.417154-07:00,7.0
2023-08-25 07:02:06.797269-07:00,8.181
2023-08-25 08:02:12.621175-07:00,9.79
2023-08-25 09:02:17.772510-07:00,17.47
2023-08-25 10:02:22.236212-07:00,22.382
2023-08-25 11:02:27.939638-07:00,31.188
2023-08-25 12:02:34.184598-07:00,18.06
2023-08-25 13:02:36.549105-07:00,21.235
2023-08-25 14:02:40.292325-07:00,22.399
2023-08-25 15:02:43.445958-07:00,24.69
2023-08-25 16:02:32.220833-07:00,27.415
